seq,name
1,배움은 우연히 얻어지는 것이 아니라 열성을 다해 갈구하고 부지런히 집중해야 얻을 수 있는 것이다.
2,교육이 한 인간을 양성하기 시작할 때의 방향이 훗날 그의 삶을 결정할 것이다.
3,배우기만 하고 생각하지 않으면 얻는 것이 없고 생각만 하고 배우지 않으면 위태롭다.
4,내일은 우리가 어제로부터 무엇인가 배웠기를 바란다.
5,학생이 되기를 멈춘 자는 한 번도 학생인 적이 없었던 자이다.
6,지금 잠을 자면 꿈을 꾸지만 지금 공부하면 꿈을 이룬다.
7,내가 헛되이 보낸 오늘은 어제 죽은 이가 갈망하던 내일이다.
8,늦었다고 생각했을 때가 가장 빠른 때이다.
9,오늘 할 일을 내일로 미루지 마라.
10,공부할 때의 고통은 잠깐 이지만 못 배운 고통은 평생이다.
11,공부는 시간이 부족한 것이 아니라 노력이 부족한 것이다.
12,행복은 성적순이 아닐지 몰라도 성공은 성적순이다.
13,공부가 인생의 전부는 아니다\n그러나 인생의 전부도 아닌 공부 하나도 정복 하지 못한다면 과연 무슨 일을 할 수 있겠는가?
14,남보다 더 일찍 더 부지런히 노력해야 성공을 맛볼 수 있다.
15,성공은 아무나 하는 것이 아니다\n철저한 자기 관리와 노력에서 비롯된다.
16,시간은 간다\n당신은 지금 시간을 어떻게 보내고 있는가?
17,지금 흘린 침은 내일 흘릴 눈물이 된다.
18,개같이 공부해서 정승같이 놀자\n조금만 참자,
19,오늘 걷지 않으면 내일 뛰어야 한다\n느리더라도 지금 걷자,
20,학벌이 돈이다.
21,오늘 보낸 하루는 내일 다시 돌아오지 않는다\n당신은 지금을 어떻게 보내고 있는가?
22,지금 이 순간에도 적들의 책장은 넘어가고 있다\n당신의 책장은 어떠한가?
23,고통이 없으면 얻는 것도 없다\n당신은 잘 해내고 있다.
24,꿈이 바로 앞에 있는데 당신은 왜 팔을 뻗지 않는가?
25,눈이 감기는가? 그럼 미래를 향한 눈도 감긴다.
26,졸지 말고 자라\n할꺼면 제대로 해라.
27,성적은 투자한 시간의 절대량에 비례한다.
28,엉덩이가 결국 재능을 이긴다\n일단 앉아라.
29,가장 위대한 일은 남들이 자고 있을 때 이뤄진다.
30,지금 헛되이 보내는 이 시간이 수능을 코앞에 둔 시점에서 얼마나 절실하게 느껴지겠는가?
31,불가능이란 노력하지 않는 자의 변명이다.
32,당신의 변명은 합리화일뿐이다\n그 누구도 알아주지 않는다\n오직 결과로 증명하라.
33,"공부 밖에 할줄 모르는 ""바보"" 한테 잘 보여라\n사회 나온 다음에는 아마 그 ""바보"" 밑에서 일하게 될지 모른다.",
34,'할 수 없다’고 생각하는 것은 '하기 싫다’고 다짐하는 것과 같다.
35,내가 죽어도 세상은 바뀌지 않는다\n하지만 내가 살아있는 한 세상은 바뀐다.
36,죽도록 공부해도 죽지 않는다\n,
37,인간은 자신이 경험한 만큼만 느끼는 법이다.
38,백 마디 말보다 한 번의 행동이,
39,나태하거나 게으른 자만이 피곤함을 느낀다.
40,네 속에 모든 것이 있다\n당신은 결심만 한다면 모든지 할 수 있다.
41,오랫동안 꿈을 그린 자는 마침내 그 꿈을 닮아간다.
42,좌절이란 있어도 포기란 없다.
43,지금의 고통은 미래의 저축이다.
44,차이는 인정한다\n차별은 도전한다.
45,자신과의 싸움에서 지는 사람은 아무것도 할 수 없다.
46,내가 꿈을 이루면 난 다시 누군가의 꿈이 된다.
47,과거에 얽매이지 말고 미래를 걱정하지 마라\n과거는 이미 지나갔고 미래는 아직 오지 않았다.
48,성공은 세상이 나를 필요로 할 때이다.
49,열정 없는 삶은 의미가 없다.
50,무슨 일을 하던 반성은 하되 후회는 하지말자.
51,세상에는 생각을 창조하는 사람과 또 남의 생각을 따라가는 사람만이 존재 한다.
52,당신의 '오늘'이 당신의 '미래'를 결정한다\n오늘도 놀 생각인가?
53,내일 죽을 것처럼 오늘을 살고 영원히 살 것처럼 내일을 꿈꾸어라,
54,젊다면 뛰어야 한다\n언제까지 그러고 있을것인가?
55,시작은 미약하나 그 끝은 창대하리라.
56,상상해보라\n당신의 찬란한 미래를\n당신은 할 수 있다.
57,당신은 이러려고 태어난 사람이 아니다\n당신의 능력을 보여줘라\n,
58,이해가 안 되면 몇 번이고 거듭하라.
59,문제를 풀 땐 먼저 문제를 읽은 후에 풀어라.
60,젊었을 때 배우지 않으면 늙어서 후회한다.
61,공부 할 때의 어려움은 잠깐이지만 성공 한 후의 즐거움은 일평생이다.
62,하루 공부하지 않으면 그것을 되찾기 위해서는 이틀이 걸린다\n이틀 공부하지 않으면 그것을 되찾기 위해서는 나흘이 걸린다\n1년 공부하지 않으면 그것을 되찾기 위해서는 2년이 걸린다,
63,학교 선생님이 까다롭다고 생각되거든 사회 나와서 직장 상사의 진짜 까다로운 맛을 한 번 느껴봐라,
64,할 수 있다\n잘 될 것이다라고 결심하라!,
65,너의 길을 가라\n남들이 무엇이라 하든지 내버려 두라,
66,외부에서 구하지마라\n성공은 내면에 존재하고 있다,
